SA22018_V1_NAME,LATITUDE,LONGITUDE
Pukekohe Central,-37.20891954,174.9133255
Pukekohe Hospital,-37.21226696,174.9026241
Buckland,-37.22733765,174.9192406
Bombay Hills,-37.17536804,175.0022561
Ararimu,-37.14686222,175.0824698
Colville,-36.69966402,175.4815761
Islands Thames-Coromandel District,-36.6154806,175.7959563
Coromandel,-36.75575844,175.4957155
Inlets Thames-Coromandel District,-36.78821889,175.469212
Mercury Bay North,-36.84372857,175.6117847
Whitianga North,-36.82143931,175.6736582
Whitianga South,-36.8336234,175.693564
Thames Coast,-37.0047507,175.5437934
Cooks Beach-Ferry Landing,-36.84060376,175.7477556
Mercury Bay South,-36.97215776,175.7163703
Kauaeranga,-37.1074127,175.6252365
Thames North,-37.13153868,175.5459187
Thames Central,-37.14032281,175.5414297
Thames South,-37.1491222,175.5590376
Hikuai,-37.10104385,175.7680875
Totora-Kopu,-37.16787966,175.5601176
Tairua,-36.99459914,175.8534233
Pauanui,-37.03385041,175.8548818
Matatoki-Puriri,-37.23726446,175.660874
Whangamata Rural,-37.17526649,175.8301005
Whangamata,-37.21349281,175.866589
Miranda-Pukorokoro,-37.11354894,175.2761128
Hauraki Plains North,-37.26398219,175.3964907
Hauraki Plains East,-37.23819335,175.5435369
Ngatea,-37.27899729,175.4915105
Hauraki Plains South,-37.355292,175.4824856
Paeroa Rural,-37.39345524,175.578646
Paeroa,-37.37535256,175.6739369
Waihi Rural,-37.43661886,175.7843219
Waihi North,-37.38622736,175.8334923
Waihi East,-37.3822807,175.8556129
Waihi South,-37.397349,175.8375224
Aka Aka,-37.29132737,174.7750921
Mangatangi,-37.1550063,175.1758021
Tuakau Rural,-37.28621227,174.9522906
Tuakau North,-37.25721309,174.9481626
Onewhero,-37.36416985,174.8754936
Pokeno Rural,-37.27014853,175.0048318
Tuakau South,-37.28146265,174.9406688
Port Waikato-Waikaretu,-37.46326144,174.7802215
Pokeno,-37.24416888,175.0202153
Pukekawa,-37.35591115,175.0052687
Maramarua,-37.27897408,175.2148486
Rangiriri,-37.3896672,175.0901221
Te Akau,-37.69707947,175.0455619
Inlets Waikato District,-37.78791463,174.9039852
Te Kauwhata,-37.4025191,175.1480209
Huntly Rural,-37.53043725,175.1912831
Waerenga,-37.42381266,175.3085218
Huntly West,-37.53603123,175.1387367
Huntly East,-37.55408564,175.1655325
Raglan,-37.8113872,174.8538483
Whitikahu,-37.5709867,175.3171859
Te Uku,-37.88322634,174.9382117
Taupiri-Lake Kainui,-37.65858387,175.1884422
Ngaruawahia North,-37.66207762,175.1534735
Ngaruawahia Central,-37.66638305,175.145065
Ngaruawahia South,-37.68072142,175.1433989
Kainui-Gordonton,-37.65939637,175.2749636
Te Kowhai,-37.72194588,175.1633403
Whatawhata West,-37.76133473,175.1233176
Horotiu,-37.70262644,175.2025065
Horsham Downs,-37.70633361,175.2818963
Whatawhata East,-37.80041059,175.1591115
Rotokauri,-37.79646444,175.2205137
Hamilton Park,-37.74851528,175.3389199
Eureka-Tauwhare,-37.73963043,175.4329609
Tamahere North,-37.8125973,175.3527103
Pukemoremore,-37.79999562,175.4230531
Tamahere South,-37.84740377,175.3897818
Tahuna-Mangateparu,-37.52132213,175.4648017
Mangaiti,-37.50073616,175.628672
Tatuanui,-37.64163374,175.5934946
Tahuroa,-37.69903344,175.524808
Morrinsville East,-37.64774647,175.5361261
Morrinsville West,-37.65791668,175.5191306
Te Aroha East,-37.53376025,175.7092418
Te Aroha West,-37.55101925,175.7006574
Waihou-Manawaru,-37.59772787,175.7683505
Waitoa-Ngarua,-37.64354365,175.7049672
Richmond Downs-Wardville,-37.71603663,175.7456246
Waharoa-Peria,-37.78764074,175.7349705
Okauia,-37.77286251,175.84579
Hinuera,-37.87610156,175.7205954
Matamata North,-37.8092195,175.7806562
Matamata South,-37.81753128,175.7711982
Te Poi,-37.87153608,175.8730697
Te Rapa North,-37.73226423,175.2207236
Flagstaff North,-37.72225897,175.2476694
Rotokauri-Waiwhakareke,-37.75541514,175.2113997
Flagstaff South,-37.729433,175.239892
Rototuna North,-37.71737955,175.2650505
Pukete West,-37.73942064,175.2352709
Flagstaff East,-37.73415885,175.2537505
Rototuna Central,-37.72662295,175.2653917
Pukete East,-37.74160973,175.2444184
Te Manatu,-37.72619876,175.2819573
Rototuna South,-37.73648973,175.2699478
Te Rapa South,-37.76141322,175.2411461
Saint Andrews West,-37.75310645,175.2502544
Saint Andrews East,-37.75334806,175.2616767
Queenwood (Hamilton City),-37.74645488,175.2661638
St James,-37.73572255,175.2838488
Crawshaw,-37.77209972,175.2349975
Huntington,-37.74374104,175.2837203
Western Heights (Hamilton City),-37.78528581,175.2266397
Nawton West,-37.78502392,175.2335739
Nawton East,-37.77962005,175.2401698
Chartwell,-37.75401103,175.2771694
Forest Lake (Hamilton City),-37.77134221,175.252909
Chedworth,-37.75074523,175.2849514
Beerescourt,-37.76368245,175.2614655
Miropiko,-37.76463892,175.2715573
Porritt,-37.7587924,175.2863794
Dinsdale North,-37.78865021,175.2457557
Maeroa,-37.77834857,175.2602885
Dinsdale South,-37.79839009,175.2393146
Fairfield (Hamilton City),-37.76889278,175.284084
Whitiora,-37.77756896,175.2704803
Enderley North,-37.76256822,175.2942334
Fairview Downs,-37.76127248,175.3031692
Temple View,-37.82263785,175.2191035
Swarbrick,-37.79404129,175.2521952
Kahikatea,-37.80133598,175.2505409
Frankton Junction,-37.79650916,175.2625589
Kirikiriroa,-37.7819599,175.2746929
Enderley South,-37.77006022,175.2965386
Ruakura,-37.77240012,175.3176173
Claudelands,-37.77969313,175.2879115
Hamilton Central,-37.78938082,175.2820307
Hamilton Lake,-37.79791394,175.2734923
Peachgrove,-37.77692046,175.2973258
Hamilton East Village,-37.79028168,175.2932465
Hamilton West,-37.80074182,175.2844169
Greensboro,-37.78580589,175.310164
Hamilton East Cook,-37.7913507,175.3034307
Melville North,-37.81091872,175.2793865
Hamilton East,-37.80128004,175.3007638
Melville South,-37.81569499,175.2785074
Deanwell,-37.8203408,175.2741917
Bader,-37.80931055,175.2924365
Hillcrest West (Hamilton City),-37.79546663,175.3132658
Hillcrest East (Hamilton City),-37.79610513,175.3216712
Silverdale (Hamilton City),-37.79128988,175.3291239
Glenview,-37.81914877,175.2905484
Resthill,-37.82572526,175.2873741
Fitzroy,-37.81785453,175.300863
Riverlea,-37.80516292,175.3249034
Peacockes,-37.82349958,175.312992
Te Pahu,-37.92511289,175.1276973
Ngahinapouri,-37.86550268,175.2050077
Lake Cameron,-37.85237531,175.2936539
Lake Ngaroto,-37.93011525,175.2427078
Kaipaki,-37.88426455,175.3540589
Pirongia,-37.99437359,175.2046696
Hautapu Rural,-37.84547487,175.4412634
Pokuru,-38.02371113,175.2579105
Te Rahu,-37.94962706,175.3486416
Fencourt,-37.84886961,175.4826117
Hautapu,-37.87894521,175.4437087
Karapiro,-37.87109072,175.5689487
Cambridge North,-37.8739543,175.4699974
Cambridge West,-37.8870045,175.4577976
Cambridge East,-37.882191,175.4734643
Cambridge Park-River Garden,-37.90135655,175.4496923
Oaklands-St Kilda,-37.87830147,175.4878859
Pukerimu,-37.93423692,175.4163048
Cambridge Central,-37.89316701,175.4715905
Te Awamutu North,-37.99873125,175.3216708
Te Awamutu West,-38.00845928,175.3046895
Leamington West,-37.90325801,175.4708609
Goodfellow Park,-38.00680748,175.31678
Leamington South,-37.91630252,175.4677197
Leamington Central,-37.91053559,175.4724629
Leamington East,-37.902915,175.4829882
Te Awamutu Stadium,-38.0160303,175.3153193
Te Awamutu Central,-38.0102104,175.326388
Pekerau,-38.00799642,175.3444897
Fraser Street,-38.02172341,175.3242625
Sherwin Park,-38.01763951,175.3360078
St Leger,-38.03675379,175.3326579
Rotoorangi,-38.02123915,175.4370543
Tokanui,-38.06948642,175.3219439
Kihikihi Central,-38.03798646,175.3507997
Maungatautari,-37.99001963,175.597405
Rotongata,-38.09897589,175.5485222
Inlets Otorohanga District,-38.08682721,174.843901
Pirongia Forest,-38.07790098,174.9593058
Honikiwi,-38.12541932,175.1399661
Te Kawa,-38.12026201,175.2594488
Otorohanga,-38.18318495,175.2167736
Maihiihi,-38.25985712,175.3533971
Puniu,-38.28518422,175.551365
Tirau,-37.95916018,175.8142962
Putararu Rural,-38.09657792,175.7324437
Putararu,-38.05293796,175.7846651
Kinleith,-38.29131119,175.7967036
Paraonui,-38.21178412,175.8515199
Parkdale,-38.20923493,175.8736035
Matarawa,-38.22438631,175.8534565
Stanley Park,-38.22081091,175.8635174
Strathmore (South Waikato District),-38.23232788,175.8653461
Tokoroa Central,-38.2230221,175.8734232
Moananui,-38.23905279,175.8629699
Inlet Waitomo District,-38.11501792,174.7820885
Herangi,-38.45166436,174.8036454
Hangatiki,-38.28355305,175.0693834
Aria,-38.5422892,175.0202212
Te Kuiti West,-38.33639894,175.1601903
Te Kuiti East,-38.33422954,175.1750142
Waipa Valley,-38.45839327,175.2765737
Tiroa,-38.53374368,175.5242158
Marotiri,-38.51214377,175.7806422
Ohakuri,-38.52137003,176.0947775
Lake Taupo Bays,-38.87191067,175.7316698
Mapara,-38.65445471,175.9769592
Inland water Lake Taupo,-38.80363803,175.9109763
Wairakei-Broadlands,-38.68443198,176.2621773
Acacia Bay,-38.70123976,176.0195681
Brentwood (Taupo District),-38.68168999,176.0527261
Nukuhau-Rangatira Park,-38.67360248,176.074247
Taupo Central West,-38.6847684,176.0730419
Tauhara,-38.6735574,176.1135731
Taupo Central East,-38.68453849,176.0813206
Mountview,-38.68673952,176.0924507
Bird Area,-38.69357961,176.0859815
Hilltop (Taupo District),-38.69976213,176.0991505
Waipahihi,-38.71039633,176.0993008
Richmond Heights,-38.71708174,176.0882855
Wharewaka,-38.73418064,176.0791833
Kaimanawa,-39.18581719,175.7416407
Waitahanui,-38.74070686,176.1542515
Turangi,-38.99284557,175.8060691
Rangataiki,-38.71838874,176.4705909
Taharua,-39.05016192,176.287545
Te More,-39.12878205,176.0316476
Waiau,-37.44585854,175.9097875
Waihi Beach-Bowentown,-37.42807039,175.9556145
Tahawai,-37.519043,175.8922931
Athenree,-37.44455774,175.9591733
Aongatete,-37.61688515,175.893938
Katikati,-37.55213437,175.9254829
Inlet Tauranga Harbour North,-37.57994816,176.0164512
Matakana Island,-37.56304484,176.0570772
Pahoia,-37.70302699,175.9681227
Omokoroa,-37.64305079,176.0343062
Omokoroa Rural,-37.655611,176.0146601
Te Puna,-37.68313647,176.068803
Minden,-37.77273465,176.0154078
Kaimai,-37.88590858,176.0209843
Kopurererua,-37.77550916,176.1039084
Kaitemako (Western Bay of Plenty District),-37.78247813,176.1993878
Waiorohi,-37.87712037,176.1477557
Otawa,-37.80633865,176.2729115
Te Puke West,-37.7881496,176.3108254
Rangiuru,-37.85543327,176.3346258
Te Puke East,-37.7898618,176.3255503
Inlets Maketu,-37.76884378,176.4813193
Maketu,-37.75952859,176.4634504
Pukehina Beach,-37.78609613,176.5175689
Pongakawa,-37.89305456,176.4961447
Matua North,-37.66586707,176.1233338
Inlet Tauranga Harbour South,-37.70215632,176.2192822
Mount Maunganui North,-37.63000366,176.1731587
Matua South,-37.66755205,176.1324534
Bethlehem North,-37.69058759,176.1075307
Bellevue,-37.67938337,176.1292392
Otumoetai North,-37.66946351,176.1490399
Otumoetai South,-37.67691846,176.1443713
Brookfield West,-37.69077076,176.1305169
Bethlehem Central,-37.7065879,176.1149812
Brookfield East,-37.68730456,176.1414349
Mount Maunganui South,-37.64901161,176.1975804
Tauranga Central,-37.67947411,176.1670426
Mount Maunganui Central,-37.66423891,176.194481
Judea,-37.69516132,176.1434545
Te Reti,-37.70366196,176.1307627
Bethlehem South,-37.72532991,176.1067655
Omanu Beach,-37.65870852,176.2077501
Tauranga Hospital,-37.70320853,176.1470071
Tauriko,-37.75604256,176.0916592
Gate Pa,-37.71588753,176.1355675
Greerton South,-37.72765679,176.1251871
Tauranga South,-37.7084259,176.1568196
Arataki North,-37.67104486,176.2167985
Matapihi,-37.69819147,176.1971738
Pyes Pa West,-37.75427199,176.1087299
Greerton North,-37.72989507,176.1376457
Yatton Park,-37.72182391,176.1463513
Pyes Pa North,-37.74119093,176.128028
Arataki South,-37.67254346,176.2257874
Pyes Pa South,-37.74928473,176.1224435
Poike,-37.73216784,176.1506486
Te Maunga North,-37.67469413,176.2338482
Maungatapu,-37.7183264,176.1789488
Hairini,-37.7321134,176.1627103
Pyes Pa East,-37.74799664,176.1423603
Te Maunga South,-37.68431126,176.2429964
Kaitemako (Tauranga City),-37.73959423,176.1766902
Ohauiti,-37.74926894,176.161603
Baypark-Kairua,-37.70754878,176.2495911
Welcome Bay West,-37.73107452,176.1850215
Welcome Bay East,-37.72030061,176.2092839
Pacific View,-37.69041269,176.2549225
Welcome Bay South,-37.73637425,176.1974355
Palm Beach North,-37.69284374,176.2627841
Palm Beach South-Gravatt,-37.69834431,176.2763618
Papamoa Beach North,-37.7028057,176.2953517
Doncaster,-37.71059488,176.2968183
Papamoa Beach South,-37.70757761,176.3111018
Motiti,-37.71900661,176.3439
Wairakei,-37.73298319,176.3590442
Tui Ridge,-38.01697507,176.129319
Arahiwi,-38.11299371,176.0476779
Ngongotaha Valley,-38.14347351,176.157425
Hamurana,-38.03031339,176.2509833
Ngongotaha East,-38.06283551,176.213884
Ngongotaha West,-38.07907701,176.2045438
Inland water Lake Rotorua,-38.07904037,176.2720466
Ngongotaha South,-38.09960701,176.2134176
Selwyn Heights,-38.11866039,176.2166889
Pleasant Heights,-38.12832953,176.2062618
Rotoiti-Rotoehu,-38.05706156,176.4580576
Kawaha,-38.10882745,176.2369396
Fairy Springs,-38.11485248,176.2290382
Western Heights (Rotorua District),-38.12374566,176.2209768
Pukehangi North,-38.13486467,176.2054859
Pukehangi South,-38.14208034,176.2072658
Mangakakahi Central,-38.12824758,176.2305875
Koutu,-38.12154784,176.2382327
Mangakakahi West,-38.13572124,176.2179799
Sunnybrook,-38.14973623,176.209178
Fordlands,-38.14335034,176.2231512
Kuirau,-38.13474084,176.2424283
Utuhina,-38.14249953,176.2321444
Pomare,-38.15440452,176.2216546
Rotorua Central,-38.13568521,176.2542401
Hillcrest (Rotorua District),-38.14990065,176.2346579
Victoria,-38.1428939,176.2445082
Waiohewa,-38.1090756,176.3811602
Glenholme North,-38.14741329,176.246068
Springfield South,-38.16331896,176.2277194
Springfield North,-38.15887997,176.2359355
Glenholme South,-38.15361117,176.2475663
Owhata West,-38.1297808,176.2912146
Holdens Bay-Rotokawa,-38.11483901,176.3250517
Ngapuna,-38.14682269,176.2704744
Fenton Park,-38.15219623,176.2575405
Tihiotonga-Whakarewarewa,-38.16412016,176.251731
Owhata East,-38.13784197,176.2981438
Lynmore,-38.14940578,176.2889536
Ngakuru,-38.3265856,176.1995005
Kaingaroa-Whakarewarewa,-38.25763217,176.4569721
Golden Springs,-38.43903714,176.350431
Manawahe,-37.94949244,176.6695897
Matata-Otakiri,-37.93846406,176.800438
Onepu Spring,-38.04128543,176.7499485
Edgecumbe,-37.97371477,176.8290882
Thornton-Awakeri,-37.98393622,176.9084386
Te Teko Lakes,-38.05714893,176.8025725
Coastlands,-37.94356079,176.9623343
Whakatane West,-37.96340527,176.9655928
Whakatane Central,-37.95356587,176.9923274
Trident,-37.96899468,176.9777094
Allandale,-37.96801926,176.9863538
Mokorua Bush,-37.96128021,177.0023902
Wainui,-38.01390602,177.0338821
Ohope,-37.98331205,177.1150872
Inlet Ohiwa Harbour West,-37.99554076,177.0962869
Galatea,-38.59477922,176.8316468
Waingarara-Waimana,-38.28225314,177.0217387
Murupara,-38.45393088,176.7063879
Monika Reserve,-38.09544004,176.6750031
Kawerau Industrial,-38.07123027,176.7217592
Tarawera Park,-38.09034331,176.709359
Inlet Ohiwa Harbour East,-38.01536696,177.1175093
Waiotahi,-38.04672615,177.2017177
Cape Runaway,-37.85617143,177.7894287
Woodlands,-38.01656194,177.259659
Opotiki,-38.0131159,177.2868247
Otara-Tirohanga,-38.02845968,177.3479923
Oponae,-38.20378355,177.3821502
East Cape,-37.68457303,178.2530963
Waipaoa,-38.34127548,177.7073397
Ruatoria-Raukumara,-37.86680632,178.1958855
Tokomaru,-38.07908632,178.1401774
Hangaroa,-38.67842084,177.6333148
Wharekaka,-38.4322622,178.1568292
Te Arai,-38.65827971,177.8970149
Hexton,-38.62021616,177.9681315
Lytton,-38.63811028,177.9990272
Makaraka-Awapuni,-38.65787303,177.9725507
Riverdale,-38.64381481,177.9976712
Te Hapara North,-38.65019278,178.0005427
Mangapapa North,-38.63947853,178.0121518
Elgin,-38.65935883,177.9921386
Te Hapara South,-38.6565594,178.0043158
Mangapapa East,-38.64354706,178.0214628
Mangapapa South,-38.64907911,178.0142546
Te Hapara East,-38.6560244,178.0172128
Centennial Crescent,-38.66282628,178.0094277
Whataupoko East,-38.64990296,178.0320065
Whataupoko West,-38.65837976,178.0289827
Gisborne Central,-38.66778237,178.0229931
Kaiti North,-38.66763381,178.0446818
Kaiti South,-38.67922301,178.0391953
Outer Kaiti,-38.66939983,178.056555
Tamarau,-38.67903252,178.0534396
Wainui-Okitu,-38.69472117,178.0598375
Maungataniwha-Raupunga,-38.9717569,177.0570601
Inland water Lake Waikaremoana,-38.77140394,177.072767
Frasertown-Ruakituri,-38.79568211,177.3499724
Whakaki,-39.01763369,177.541764
Wairoa,-39.03908469,177.4189808
Mahia,-38.98042026,177.7158195
Puketitiri-Tutira,-39.19745874,176.643007
Sherenden-Crownthorpe,-39.47575154,176.4980148
Maraekakaho,-39.62634976,176.2969952
Puketapu-Eskdale,-39.4377947,176.7912576
Omahu-Pakowhai,-39.56659265,176.8202478
Bridge Pa,-39.63313082,176.7628481
Twyford,-39.59961385,176.8187489
Poukawa,-39.75996379,176.7022712
Flaxmere West,-39.61622285,176.7732339
Omahu Strip,-39.61309296,176.7872568
Lochain Park,-39.61954659,176.7820075
Flaxmere Park,-39.62368341,176.7871471
Flaxmere South,-39.63097019,176.7912802
Irongate,-39.63855772,176.8011531
Frimley,-39.62166848,176.8292599
Camberley,-39.63000463,176.8258152
Clive,-39.58681014,176.9130379
St Leonards,-39.63470466,176.8331525
Mahora,-39.62404962,176.8488809
Raureka,-39.64068599,176.8248974
Cornwall Park,-39.63081696,176.8424303
Tomoana,-39.62461437,176.8637875
Longlands-Pukahu,-39.67130041,176.8249936
Raceway Park,-39.64609207,176.8324527
Karamu,-39.62823535,176.8838363
Hastings Central,-39.63962329,176.8464276
Tomoana Crossing,-39.63141616,176.8562162
Akina Park,-39.65011585,176.8405243
Queens Square,-39.64447191,176.853837
Mayfair,-39.64014808,176.8633994
Parkhaven,-39.65455823,176.8482577
Parkvale,-39.64945934,176.8609755
Mangateretere,-39.63473335,176.925178
Haumoana-Te Awanga,-39.6348138,176.9732479
Lucknow,-39.6706916,176.8701444
Karanema-St Hill,-39.66451096,176.8862713
Havelock North-Central,-39.66899524,176.8778553
Brookvale,-39.65974248,176.8952269
Iona,-39.67719283,176.8764327
Hereworth,-39.67259367,176.8927927
Te Mata Hills,-39.68967679,176.903869
Havelock Hills,-39.68336487,176.8865291
Kahuranaki,-39.7652496,176.9348851
Bay View,-39.44155622,176.8583947
Poraiti Hills,-39.50072983,176.8341526
Poraiti Flat,-39.49267269,176.8587725
Westshore,-39.4746211,176.8811713
Inlet Napier City,-39.48554208,176.8801505
Onekawa West,-39.49700088,176.8821806
Ahuriri,-39.48272533,176.8975936
Taradale West,-39.52609392,176.8382779
Greenmeadows West,-39.51591342,176.8534658
Taradale South,-39.54323393,176.8298907
Bluff Hill,-39.48081517,176.9153891
Hospital Hill,-39.48954321,176.9020767
Tamatea West,-39.51290647,176.863372
Tamatea North,-39.5079037,176.8724253
Taradale Central,-39.5289489,176.8496314
Tamatea East,-39.51596053,176.8691687
Marewa West,-39.49919694,176.8959941
Greenmeadows Central,-39.52255684,176.8615781
Onekawa Central,-39.50598803,176.8889077
Pirimai West,-39.51328394,176.8787314
Napier Central,-39.49277802,176.9157349
Greenmeadows South,-39.5259049,176.8673777
Nelson Park,-39.49765371,176.9080156
Bledisloe Park,-39.53439372,176.8565211
Pirimai East,-39.51832585,176.8824334
Onekawa East,-39.50931627,176.8956642
Tareha Reserve,-39.54400792,176.8514304
Marewa East,-39.50747604,176.906762
Onekawa South,-39.51636261,176.8917305
McLean Park,-39.5083024,176.9160949
Maraenui,-39.51577224,176.9036775
Meeanee-Awatoto,-39.54411569,176.8930414
Mangaonuku,-39.80378374,176.4170926
Makaretu,-39.94160872,176.3127314
Waipawa,-39.93975904,176.5913431
Waipukurau West,-39.99738364,176.540483
Mangarara,-39.99003717,176.7626486
Waipukurau East,-40.00231546,176.5602707
Taurekaitai,-40.20716661,176.5333772
Port Taranaki,-39.06078035,174.0294161
Spotswood,-39.07096507,174.0242788
Omata,-39.09431592,174.0185389
Oakura,-39.11694914,173.9506602
Moturoa,-39.06270468,174.0483364
Kaitake,-39.19318761,173.9421888
Blagdon-Lynmouth,-39.07074008,174.043222
Kawaroa,-39.06419765,174.0657136
New Plymouth Central,-39.05700192,174.0753745
Marfell,-39.07502389,174.0471119
Whalers Gate,-39.08580042,174.0370736
Strandon,-39.05369313,174.0947566
Westown,-39.0747742,174.0601111
Bell Block West,-39.02995252,174.1375862
Bell Block East,-39.0162041,174.1700239
Waiwhakaiho-Bell Block South,-39.03639644,174.164266
Lower Vogeltown,-39.07209853,174.0782174
Hurdon,-39.09534718,174.0505955
Frankleigh Park,-39.08421237,174.070129
Merrilands,-39.06454623,174.1020596
Ferndale,-39.08975124,174.0580376
Welbourn,-39.08571024,174.093116
Fitzroy-Glen Avon,-39.07427128,174.1236045
Waitara West,-38.9975014,174.2265459
Upper Vogeltown,-39.09023955,174.0833227
Highlands Park (New Plymouth District),-39.08069461,174.1044312
Paraite,-39.05356228,174.1621418
Waitara East,-38.99532406,174.2439001
Lepperton-Brixton,-39.03478152,174.2186892
Mangorei,-39.18102935,174.0601763
Mount Messenger,-38.92321069,174.624339
Mangaoraka,-39.13469225,174.1638859
Tikorangi,-39.04099797,174.3431324
Everett Park,-39.22793305,174.1811673
Inglewood,-39.15653753,174.2015206
Tarata,-39.1604937,174.3905301
Pembroke,-39.34019567,174.1853654
Douglas,-39.24071688,174.6297252
Toko,-39.31711879,174.348302
Stratford North,-39.32802895,174.2826132
Whangamomona,-39.11310251,174.8722542
Stratford Central,-39.3375964,174.2891065
Stratford South,-39.34903873,174.2851582
Cape Egmont,-39.31360193,173.8715951
Taungatara,-39.44771938,173.9754203
Opunake,-39.45132365,173.8587844
Kaponga-Mangatoki,-39.43452513,174.2298045
Manaia-Kapuni,-39.51778061,174.1237958
Eltham,-39.4310866,174.2990357
Okaiawa,-39.5375084,174.217588
Te Roti-Moeroa,-39.43904821,174.4934703
Egmont Showgrounds,-39.57617162,174.2630823
Normanby-Tawhiti,-39.58187479,174.3113782
Ohangai,-39.53843359,174.4489632
Turuturu,-39.57067046,174.2791488
King Edward Park,-39.58215942,174.276832
Ramanui,-39.60612482,174.2747851
Hawera Central,-39.59042249,174.2831451
Mangawhio,-39.61067493,174.745567
Manutahi-Waitotora,-39.78384701,174.5752917
Patea,-39.75417884,174.4704212
Otangiwai-Ohura,-38.86696248,175.0029802
Ngapuke,-38.85395468,175.3781322
Taumarunui North,-38.86254762,175.2446764
Taumarunui Central,-38.88792031,175.2643661
Taumarunui East,-38.88852154,175.3137957
National Park,-39.11630156,175.3719336
Tangiwai,-39.36236325,175.167665
Raetihi,-39.42926305,175.2760396
Ohakune,-39.41156448,175.4146504
Waiouru,-39.46984453,175.677638
Upper Whanganui,-39.70091534,175.1695273
Mowhanau,-39.84344675,174.9028829
Brunswick-Papaiti,-39.87675408,175.029188
Castlecliff West,-39.92973815,174.9771752
Otamatea (Whanganui District),-39.90577525,175.0219061
Castlecliff East,-39.9365306,174.9926916
Springvale North,-39.92096132,175.0167745
Lower Aramoho,-39.90451924,175.053096
St Johns Hill East,-39.91309776,175.0395832
St Johns Hill West,-39.92023434,175.030642
Titoki,-39.93592026,175.0099764
Springvale West,-39.92948142,175.0175364
Springvale East,-39.92557706,175.0232251
Upper Aramoho,-39.89595181,175.0698305
Balgownie,-39.94857043,175.0087787
Laird Park,-39.91964278,175.0457945
Wembley Park,-39.90764024,175.0640024
College Estate,-39.9305007,175.034705
Whanganui East-Williams Domain,-39.91385177,175.0614987
Gonville West,-39.94273365,175.0182285
Gonville North,-39.93848551,175.0290087
Cornmarket,-39.92629435,175.0507913
Whanganui East-Riverlands,-39.92181181,175.0612798
Kaitoke-Fordell,-39.94185467,175.1562215
Whanganui Central,-39.93513676,175.047018
Gonville South,-39.94790734,175.0340018
Bastia-Durie Hill,-39.93438728,175.0659697
Putiki,-39.95056973,175.0499852
Mokai Patea,-39.59566818,175.8944296
Ngamatea,-39.35192361,176.196284
Turakina,-40.0113956,175.257739
Otairi,-39.8895865,175.525475
Taihape,-39.67806733,175.7967734
Marton Rural,-40.10983805,175.3773963
Marton North,-40.06299097,175.3709808
Parewanui,-40.17938557,175.2847758
Marton South,-40.08428893,175.3854159
Bulls,-40.17938877,175.3825101
Kiwitea,-40.00817686,175.6960387
Tokorangi,-40.12383342,175.549708
Ohakea-Sanson,-40.21459412,175.3949146
Oroua Downs,-40.32828797,175.2906718
Awahuri,-40.24996829,175.4722311
Pohangina-Apiti,-40.07201708,175.912508
Mount Taylor,-40.20143326,175.5550465
Taikorea,-40.35854632,175.3943324
Makino,-40.20622477,175.5655507
Sandon,-40.22623004,175.5460915
Kimbolton North,-40.2074565,175.5821478
Warwick,-40.22282513,175.5590182
Kimbolton West,-40.21815279,175.5702038
Feilding Central,-40.23865803,175.5811432
Kimbolton South,-40.22630659,175.5780156
Kauwhata,-40.37673467,175.4759989
Taonui,-40.23630115,175.6934484
Newbury,-40.33398879,175.5799289
Palmerston North Airport,-40.31236784,175.6224136
Milson North,-40.32708272,175.6073125
Cloverlea (Palmerston North City),-40.3451422,175.5851881
Tremaine,-40.33969042,175.5986569
Milson South,-40.33443818,175.6050523
Whakarongo,-40.31079696,175.6911013
Westbrook,-40.35570204,175.5780286
Takaro North,-40.34988583,175.5986913
Pioneer West,-40.37290141,175.5684516
Palmerston North Hospital,-40.34174356,175.6148222
Highbury East,-40.3613441,175.586246
Park West,-40.36636017,175.5767905
Takaro South,-40.35685753,175.5936027
Roslyn (Palmerston North City),-40.33547398,175.6289593
Kelvin Grove West,-40.32856085,175.6444119
Kelvin Grove North,-40.32242994,175.6605118
Papaioea North,-40.34721244,175.6189207
Palmerston North Central,-40.35537702,175.6101096
Awapuni North,-40.37027268,175.5887085
Terrace End,-40.34168056,175.633626
Maraetarata,-40.38387287,175.5791031
Papaioea South,-40.35209317,175.6254717
Royal Oak (Palmerston North City),-40.33074153,175.6625931
West End,-40.36797536,175.6033929
Awapuni South,-40.37784493,175.5934347
Milverton,-40.35969543,175.6198325
Ruamahanga,-40.34920538,175.6419486
Esplanade,-40.36732356,175.6142908
Hokowhitu Central,-40.36171123,175.6258934
Hokowhitu East,-40.35738577,175.6363304
Turitea,-40.39053678,175.6086253
Ruahine,-40.37008236,175.6316461
Linton Camp,-40.40509247,175.5872108
Ashhurst,-40.29115251,175.7586017
Hokowhitu South,-40.36620394,175.6416672
Aokautere,-40.36929816,175.6562344
Pihauatua,-40.45284951,175.6046679
Aokautere Rural,-40.3679274,175.7180641
Poutoa,-40.3900382,175.6454414
Norsewood,-40.11138214,176.1510501
Papatawa,-40.2208018,175.9958666
Mangatainoka,-40.39758846,175.8254609
Woodville,-40.33673831,175.8663522
Dannevirke West,-40.19710678,176.1024234
Dannevirke East,-40.21019552,176.1021355
Waitahora,-40.30073659,176.2162129
Kaitawa,-40.47250224,175.9768251
Pahiatua,-40.45465931,175.8372168
