SA22018_V1_NAME,LATITUDE,LONGITUDE
Kumeu-Huapai,-36.76998293,174.5428667
Stanmore Bay East,-36.6293262,174.7417636
Manly West,-36.63336524,174.7530004
Muriwai Valley-Bethells Beach,-36.8197327,174.4703282
Tindalls-Matakatia,-36.61663904,174.77704
Coatesville,-36.72270876,174.6433629
Dairy Flat South,-36.6956027,174.6791641
Gulf Harbour North,-36.60949658,174.7941367
Manly East,-36.63338986,174.761288
Riverhead,-36.75810331,174.5837118
Army Bay,-36.60509803,174.8232573
Kumeu Rural East,-36.77658085,174.5745689
Gulf Harbour South,-36.62319574,174.7959801
Paremoremo West,-36.75507226,174.6158432
Taupaki,-36.82164682,174.5542496
Long Bay,-36.68946348,174.7330696
Paremoremo East,-36.74982031,174.6602053
Albany Heights,-36.71796472,174.6940139
Awaruku,-36.69990012,174.7273293
Fairview Heights,-36.71007322,174.7167899
Whenuapai,-36.79162758,174.6214307
Waitakere Ranges North,-36.89876888,174.50001
Torbay,-36.69512414,174.7509292
Albany Central,-36.72820186,174.7048352
Albany West,-36.7414674,174.6878799
Glamorgan,-36.70130329,174.7405506
Oteha East,-36.71657898,174.7220726
Northcross,-36.71165743,174.7307683
Oteha West,-36.72206732,174.7168675
Waiake,-36.70665026,174.7443967
Waitakere,-36.85697982,174.5407292
Albany South,-36.73882334,174.7094925
Browns Bay South West,-36.72178932,174.7299465
Browns Bay Central,-36.71427585,174.7432631
Schnapper Rock,-36.75623258,174.6869198
Pinehill,-36.73133656,174.7236327
North Harbour,-36.74630474,174.7150298
Browns Bay South East,-36.72475755,174.7377055
Westgate Central,-36.81462711,174.6057745
Greenhithe West,-36.77353411,174.6735475
Rothesay Bay,-36.7235541,174.7472939
Greenhithe East,-36.7641032,174.6893254
Hobsonville,-36.80986626,174.6281285
Inlet Waitemata Harbour,-36.83821248,174.705025
Greenhithe South,-36.77162145,174.6943051
Murrays Bay West,-36.73177873,174.7417476
Westgate South,-36.82710769,174.6079192
Windsor Park,-36.73975221,174.7356835
West Harbour West,-36.81872701,174.6225404
Unsworth Heights West,-36.75886381,174.7113026
Murrays Bay East,-36.7310303,174.7516195
Birdwood West,-36.85060481,174.5866772
Hobsonville Point,-36.79691625,174.661722
West Harbour Clearwater Cove,-36.81054038,174.637041
Unsworth Heights East,-36.75603242,174.7197727
Mairangi Bay North,-36.73858904,174.7465493
Massey Central,-36.83909835,174.6060205
West Harbour Luckens Point,-36.81802341,174.6369598
Mairangi Bay South,-36.74390273,174.7486477
Massey Royal Road West,-36.83429912,174.6125455
Bayview East,-36.76999591,174.7133744
Swanson Rural,-36.881095,174.5710682
Sunnynook South,-36.75526458,174.735876
Sunnynook North,-36.75086862,174.7416936
Bayview West,-36.77591921,174.704622
Totara Vale North,-36.75965827,174.7300947
Royal Heights North,-36.82851197,174.6277462
Massey West,-36.84988607,174.6074295
Beach Haven West,-36.79327636,174.6861914
Totara Vale South,-36.76583308,174.725736
Swanson,-36.86489607,174.5846298
Bayview South,-36.78197477,174.70359
Campbells Bay,-36.74954905,174.7562735
Royal Heights South,-36.83554837,174.628323
Beach Haven East,-36.79268258,174.6935913
Massey East,-36.84348264,174.6205713
Forrest Hill North,-36.75718347,174.7465398
Glenfield North,-36.7738809,174.7266135
Birkdale North,-36.79368225,174.7009238
Massey South,-36.84994988,174.616259
Ranui North,-36.86005874,174.6022059
Glenfield West,-36.78268321,174.7178979
Te Atatu Peninsula North West,-36.82655522,174.6488325
Glenfield South West,-36.78941699,174.7129006
Forrest Hill West,-36.76895837,174.7451352
Wairau Valley,-36.77355541,174.7345317
Forrest Hill East,-36.76431463,174.7522307
Castor Bay,-36.76039959,174.7617834
Ranui Domain,-36.86589923,174.6042734
Beach Haven South,-36.80714782,174.6941953
Glenfield Central,-36.78480405,174.725877
Piha,-36.96186554,174.4742342
Ranui South West,-36.87146189,174.5939237
Henderson Larnoch,-36.85924837,174.6179778
Birkdale South,-36.80042176,174.7076406
Te Atatu Peninsula Central,-36.83605713,174.6517401
Glenfield East,-36.78026196,174.7345869
Henderson Valley,-36.90641583,174.5691738
Te Atatu Peninsula West,-36.84872236,174.6469842
Henderson Lincoln West,-36.85979867,174.6241135
Ranui South East,-36.87189045,174.6046809
Henderson Lincoln East,-36.85590078,174.6340743
Birkenhead West,-36.80638223,174.712872
Te Atatu Peninsula East,-36.84345584,174.6562165
Milford West,-36.77129839,174.7601946
Westlake,-36.77655884,174.7535597
Hillcrest North (Auckland),-36.79003781,174.743793
Henderson Lincoln South,-36.86722468,174.6236751
Hillcrest West (Auckland),-36.7978865,174.7283092
Milford Central,-36.77174474,174.7684636
Summerland South,-36.88167753,174.6052759
Summerland North,-36.87595448,174.6134583
Hillcrest East (Auckland),-36.79435426,174.7362044
Chatswood,-36.81836588,174.7104998
Te Atatu South-Edmonton,-36.86466374,174.6422085
Birkenhead North,-36.80733528,174.7268999
Takapuna West,-36.78910918,174.7611701
Henderson North,-36.87606154,174.6253423
Takapuna Central,-36.78202515,174.7694704
Western Heights (Auckland),-36.88738067,174.6131388
Te Atatu South-Central,-36.86221041,174.649459
Northcote Central (Auckland),-36.79888947,174.7444442
Akoranga,-36.79657499,174.7545124
Northcote South (Auckland),-36.80649304,174.7385397
Birkenhead South,-36.81601936,174.730312
Henderson Central,-36.88968581,174.6292843
Waiatarua,-36.92234659,174.5947113
Te Atatu South-McLeod North,-36.87411227,174.6468791
Henderson Valley Park,-36.8922509,174.6171396
Henderson North East,-36.87938504,174.6400701
Waitakere Ranges South,-36.9893191,174.5351089
Northcote Tuff Crater,-36.8075236,174.7509012
Northcote Point (Auckland),-36.81611854,174.7445184
McLaren Park,-36.89892389,174.6209786
Henderson East,-36.88675131,174.6385137
Te Atatu South-McLeod South,-36.88084491,174.650126
Takapuna South,-36.79521645,174.7810086
Rosebank Peninsula,-36.88086056,174.6758045
Hauraki,-36.80062296,174.7769496
Glendene North,-36.89209039,174.649037
Sunnyvale West-Parrs Park,-36.9037139,174.6307313
Sunnyvale East,-36.89955638,174.6425338
Point Chevalier West,-36.86564859,174.7024618
Belmont (Auckland),-36.80517747,174.788184
Bayswater,-36.81411659,174.777979
Glendene South,-36.89691229,174.6541683
Glen Eden West,-36.91301994,174.6288182
Herne Bay,-36.84490477,174.7316448
Westmere North,-36.85441266,174.7186331
Point Chevalier East,-36.86700191,174.7141471
Oratia,-36.94487953,174.6118312
Glen Eden Rosier,-36.91539926,174.6364327
Saint Marys Bay,-36.84071817,174.7466688
Westmere South-Western Springs,-36.86042307,174.7224495
Ponsonby West,-36.85019424,174.7343627
Kelston North,-36.89579137,174.6663445
Avondale Rosebank,-36.88903628,174.6796956
Narrow Neck,-36.81569367,174.7966105
Glen Eden North,-36.90768225,174.6570296
Glen Eden Woodglen,-36.9174767,174.6432981
Kelston South,-36.90380643,174.6626679
Waterview,-36.87948054,174.6993614
Ponsonby East,-36.85137951,174.7415932
Wynyard-Viaduct,-36.8433094,174.7578883
Stanley Point,-36.82656718,174.7841077
Glen Eden Central,-36.91560255,174.6530206
Grey Lynn North,-36.85879216,174.7357648
Avondale West (Auckland),-36.89467964,174.6846386
Freemans Bay,-36.85220128,174.7504171
Mount Albert West,-36.88204623,174.7076941
Avondale North (Auckland),-36.88954577,174.6956275
Grey Lynn West,-36.8644209,174.733749
Mount Albert North,-36.87481471,174.7176531
New Lynn North,-36.9017384,174.6718904
Victoria Park,-36.84857807,174.7565912
Konini,-36.92920297,174.6437311
New Lynn North West,-36.90794042,174.6716825
Hobson Ridge North,-36.84707104,174.7627691
Grey Lynn Central,-36.86209925,174.7462203
Fruitvale,-36.91445572,174.6647414
Devonport,-36.82716648,174.7968828
Avondale Central (Auckland),-36.89552468,174.6951983
Queen Street,-36.84774104,174.7652497
Quay Street-Customs Street,-36.84601989,174.7764629
Hobson Ridge Central,-36.85070899,174.760467
Grey Lynn East,-36.86181959,174.7520855
Morningside (Auckland),-36.87312613,174.7319744
Shortland Street,-36.84736853,174.7682392
Hobson Ridge South,-36.85434043,174.7581422
New Lynn Central,-36.90748467,174.6859657
Cheltenham,-36.82539766,174.8065985
Queen Street South West,-36.85433303,174.761348
Mount Albert Central,-36.88345034,174.7233967
Karangahape,-36.85896498,174.7563976
Kingsland,-36.87030191,174.7458516
Anzac Avenue,-36.84768561,174.7720357
Waima-Woodlands Park,-36.94665584,174.6354162
Kaurilands,-36.92947622,174.6558367
Auckland-University,-36.85143057,174.7690647
New Lynn Seabrook,-36.91793217,174.6718063
Avondale South (Auckland),-36.90336613,174.6974575
Symonds Street North West,-36.85498533,174.7659377
Mount Albert South,-36.88951191,174.7169006
Symonds Street West,-36.8567668,174.7633319
West Lynn,-36.92520977,174.6662186
Owairaka West,-36.89532607,174.7111083
New Lynn Central South,-36.91380003,174.6822783
The Strand,-36.85025882,174.7745127
St Lukes,-36.88180554,174.7313305
Symonds Street East,-36.85691,174.7664115
Eden Terrace,-36.86462613,174.7596408
Grafton,-36.86013178,174.7682855
Eden Park,-36.87476437,174.7459515
Sandringham North,-36.88053268,174.7398888
Parnell West,-36.85679261,174.7779805
New Lynn South,-36.92110202,174.6828377
New Windsor North,-36.90238578,174.712539
Titirangi South,-36.94580721,174.6562265
Owairaka East,-36.89480258,174.7215225
Eden Valley,-36.87455582,174.7525837
Sandringham Central,-36.88819147,174.7338528
Glenavon,-36.90919425,174.7032455
Blockhouse Bay North,-36.91452187,174.6966093
Green Bay North,-36.92628317,174.6852654
Parnell East,-36.85621249,174.7875184
Laingholm,-36.96456984,174.6307716
Sandringham West,-36.89249272,174.7307877
Mount Eden North East,-36.86913097,174.7655503
Mount Eden North,-36.8748348,174.7609795
Wesley West,-36.89875702,174.726462
Green Bay South,-36.93348489,174.677338
Balmoral,-36.88723106,174.7449694
Sandringham East,-36.89314875,174.7382537
New Windsor South,-36.90852211,174.7163716
Mount Eden West,-36.88382084,174.7535738
Newmarket,-36.86853889,174.777063
Blockhouse Bay North East,-36.91483741,174.7082113
Epsom North,-36.87695838,174.77071
Wesley South,-36.90931026,174.7310823
Blockhouse Bay South,-36.92531189,174.6983916
